@RELATION gabor

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
2.39322450746e-14, 26.0598279979, -2.09193773415e-13, 50.7305135026, -5.66768854071e-14, 73.3835489894, 1.96093141724e-14, 29.8202555325, 1.33587585438e-13, 56.9798133791, -2.62914690019e-14, 81.6078101458, 3.91003418879e-14, 43.4159769713, -6.37640439581e-14, 84.9353443923, -1.92583687712e-13, 123.299641945, 1.76109127281e-14, 29.6312604503, -2.83523204914e-14, 56.632242529, -1.34371680449e-13, 81.1133912579, 3
4.722611191e-14, 32.1214369506, -2.96512814302e-13, 61.9238029833, -9.20513665292e-14, 89.0922984997, 1.97359489862e-14, 56.6107221276, 1.80640225e-13, 106.468796381, 8.79157857625e-15, 150.333144434, 5.29658782111e-14, 97.0299572627, -8.77249661801e-14, 190.713122769, -2.48406330228e-13, 277.620787722, 1.35308431126e-14, 55.1051749984, -4.96686025642e-14, 103.288815971, -1.6114193313e-13, 145.522541626, 3
3.93851617986e-14, 28.0604823549, -2.63955524105e-13, 53.7999137204, -7.22755189031e-14, 77.1404275431, 1.85476634051e-14, 42.089500014, 1.56985535682e-13, 80.4292506578, -1.71529457305e-14, 115.222982071, 4.44981508238e-14, 64.6181314826, -7.51388968406e-14, 126.420454586, -2.13020139722e-13, 183.539939553, 1.64278313175e-14, 41.172470181, -3.54508089551e-14, 78.5199260542, -1.42399980696e-13, 112.373711546, 2
3.86895376847e-14, 21.5705812271, -2.50910403565e-13, 41.380136062, -6.83203493779e-14, 59.4011628961, 1.75033598726e-14, 41.7798282025, 1.48084669527e-13, 78.4993760706, -1.3430229151e-14, 110.848672713, 4.37342219731e-14, 72.9572873002, -7.35273387314e-14, 143.198844694, -2.09727634565e-13, 208.285227494, 1.63957389332e-14, 42.1241425737, -3.38444550163e-14, 79.2197857316, -1.42687944793e-13, 111.924677328, 3
5.52023704525e-14, 26.262696954, -3.11063674818e-13, 50.2838621082, -9.41816069577e-14, 72.0961335761, 1.81053089188e-14, 51.2267293702, 1.80777268155e-13, 95.6002498025, 1.26565424807e-14, 134.355887268, 5.48562931191e-14, 92.7128974253, -9.04607877321e-14, 181.903221235, -2.54354154926e-13, 264.540371667, 1.30503247098e-14, 54.6079592317, -5.01439167966e-14, 102.854275274, -1.64229740918e-13, 145.437736, 2
5.64132074388e-14, 31.293400755, -3.06685232765e-13, 60.1567901201, -1.08787978625e-13, 86.427179681, 1.79960213398e-14, 56.4798530334, 1.81195336513e-13, 105.714120891, 2.29954943975e-14, 148.732494413, 5.55410752112e-14, 101.372312812, -9.15287810821e-14, 199.249126899, -2.57144566057e-13, 290.045490283, 1.18273446592e-14, 58.9599678641, -5.5747073624e-14, 110.78717002, -1.64472602204e-13, 156.297967109, 3
2.63955524105e-14, 25.1086406007, -2.29399832463e-13, 48.1536259409, -6.17284001692e-14, 69.1632097201, 1.72917236085e-14, 44.7360671701, 1.42011402637e-13, 83.9528762532, -1.68476343987e-14, 118.581241439, 4.1135064105e-14, 76.4792061407, -6.74835621411e-14, 149.678130657, -1.98213407493e-13, 217.37132897, 1.65423230669e-14, 45.4791783294, -3.10723669017e-14, 85.6354981731, -1.32296951172e-13, 121.209074668, 3
3.9357406223e-14, 28.7978056335, -2.92904589472e-13, 55.2084815941, -8.47377723545e-14, 79.1645556117, 1.7402745911e-14, 59.793048174, 1.79564696445e-13, 112.33578267, -3.05311331772e-15, 158.364458736, 5.11540679607e-14, 103.85043592, -8.30704862537e-14, 204.379579367, -2.34612242828e-13, 297.714664525, 1.51337276044e-14, 56.1852814301, -4.22370471931e-14, 104.90104539, -1.493388746e-13, 147.246765935, 2
3.37369021608e-14, 26.6371549637, -2.83301160309e-13, 51.1180706103, -7.98527910462e-14, 73.3915011843, 2.03864702897e-14, 47.5715776257, 1.73985825747e-13, 89.6274448685, -6.55031584529e-15, 126.833710389, 5.04128531455e-14, 80.7834765547, -8.41420032607e-14, 158.425075249, -2.4340685717e-13, 230.324097852, 1.74860126378e-14, 46.9777510709, -4.34860480958e-14, 88.2937847418, -1.5984435997e-13, 124.734433508, 3
5.3221316243e-14, 30.1735931041, -2.95902191638e-13, 58.0096498736, -9.73110481084e-14, 83.3842836856, 1.55292445569e-14, 55.2735433417, 1.75970349403e-13, 103.041786226, 2.06223926824e-14, 144.56091155, 5.30004642604e-14, 97.8046531111, -8.6709285585e-14, 191.989529367, -2.43216037588e-13, 279.316589036, 1.01585406753e-14, 55.2473551198, -5.27078380941e-14, 103.153526345, -1.51267887105e-13, 144.845919022, 3
4.1883163604e-14, 31.3380172172, -2.76112466224e-13, 60.2894943238, -7.26640969617e-14, 86.6300302692, 1.78884684843e-14, 54.2195275823, 1.60371715907e-13, 102.111785583, -5.93969318174e-15, 144.436627148, 4.75576609343e-14, 92.8788756738, -7.73721364755e-14, 182.376341203, -2.19629436166e-13, 265.353132211, 1.3933298959e-14, 54.0496934121, -4.13835632429e-14, 101.58300643, -1.44495526655e-13, 143.496439614, 3
2.30648833366e-14, 24.1005251615, -2.02782235448e-13, 46.6371109207, -3.88578058619e-14, 67.2536134738, 1.6028844918e-14, 31.4542744388, 1.27425847651e-13, 60.0168776004, -2.7366997557e-14, 85.9904767726, 3.69399064289e-14, 49.0134217402, -5.98406957666e-14, 95.7592354079, -1.79324111983e-13, 138.911154294, 1.59733337668e-14, 33.4596118191, -2.68118860447e-14, 64.1654747183, -1.25288668329e-13, 92.149864052, 3
3.23074900166e-14, 27.8874165475, -2.175204461e-13, 53.9434064471, -5.62605517729e-14, 77.7649139582, 1.41830991396e-14, 40.6886499711, 1.29007915461e-13, 77.6651676388, -3.31679128607e-15, 111.10377036, 3.81776858391e-14, 61.063916147, -6.41361963538e-14, 119.53125341, -1.82904581238e-13, 173.610422277, 1.18655085757e-14, 37.4628428772, -3.35426131315e-14, 71.235417863, -1.20195520203e-13, 101.745118526, 3
