@RELATION gaborfractal

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE a35 REAL
@ATTRIBUTE a36 REAL
@ATTRIBUTE a37 REAL
@ATTRIBUTE a38 REAL
@ATTRIBUTE a39 REAL
@ATTRIBUTE a40 REAL
@ATTRIBUTE a41 REAL
@ATTRIBUTE a42 REAL
@ATTRIBUTE a43 REAL
@ATTRIBUTE a44 REAL
@ATTRIBUTE a45 REAL
@ATTRIBUTE a46 REAL
@ATTRIBUTE a47 REAL
@ATTRIBUTE a48 REAL
@ATTRIBUTE a49 REAL
@ATTRIBUTE a50 REAL
@ATTRIBUTE a51 REAL
@ATTRIBUTE a52 REAL
@ATTRIBUTE a53 REAL
@ATTRIBUTE a54 REAL
@ATTRIBUTE a55 REAL
@ATTRIBUTE a56 REAL
@ATTRIBUTE a57 REAL
@ATTRIBUTE a58 REAL
@ATTRIBUTE a59 REAL
@ATTRIBUTE a60 REAL
@ATTRIBUTE a61 REAL
@ATTRIBUTE a62 REAL
@ATTRIBUTE a63 REAL
@ATTRIBUTE a64 REAL
@ATTRIBUTE a65 REAL
@ATTRIBUTE a66 REAL
@ATTRIBUTE a67 REAL
@ATTRIBUTE a68 REAL
@ATTRIBUTE a69 REAL
@ATTRIBUTE a70 REAL
@ATTRIBUTE a71 REAL
@ATTRIBUTE a72 REAL
@ATTRIBUTE a73 REAL
@ATTRIBUTE a74 REAL
@ATTRIBUTE a75 REAL
@ATTRIBUTE a76 REAL
@ATTRIBUTE a77 REAL
@ATTRIBUTE a78 REAL
@ATTRIBUTE a79 REAL
@ATTRIBUTE a80 REAL
@ATTRIBUTE a81 REAL
@ATTRIBUTE a82 REAL
@ATTRIBUTE a83 REAL
@ATTRIBUTE a84 REAL
@ATTRIBUTE a85 REAL
@ATTRIBUTE a86 REAL
@ATTRIBUTE a87 REAL
@ATTRIBUTE a88 REAL
@ATTRIBUTE a89 REAL
@ATTRIBUTE a90 REAL
@ATTRIBUTE a91 REAL
@ATTRIBUTE a92 REAL
@ATTRIBUTE a93 REAL
@ATTRIBUTE a94 REAL
@ATTRIBUTE a95 REAL
@ATTRIBUTE a96 REAL
@ATTRIBUTE a97 REAL
@ATTRIBUTE a98 REAL
@ATTRIBUTE a99 REAL
@ATTRIBUTE a100 REAL
@ATTRIBUTE a101 REAL
@ATTRIBUTE a102 REAL
@ATTRIBUTE a103 REAL
@ATTRIBUTE a104 REAL
@ATTRIBUTE a105 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
189.977090202, 124.250921483, 141.142607547, 119.695754365, 95.5543831335, 74.3144036222, 60.6256702974, 55.1340942618, 65.2550421506, 115.59024354, 114.024263668, 129.528128369, 127.77895766, 124.913404449, 120.080474413, 123.157459935, 119.110030697, 107.875886155, 181.417344217, 74.2069782986, 61.5603780097, 61.9069115626, 77.1549151564, 93.7165584378, 118.34349268, 138.981055555, 131.050841093, 209.353782514, 128.923199668, 107.444703018, 79.645006577, 78.6784301996, 75.3241602079, 73.2552695488, 78.7729881545, 109.343054298, 138.273745352, 122.29015035, 109.559723563, 104.035333453, 121.968886659, 125.257543615, 117.315070442, 116.530201039, 120.949094136, 191.30135872, 109.493639355, 79.8766512963, 72.9058184671, 83.3367226121, 86.5511217029, 89.2566439606, 107.636317529, 127.870397508, 198.297965818, 121.381799895, 81.5967977308, 66.4578958819, 66.9237757416, 72.674259662, 85.5537023479, 102.313799148, 127.154000376, 137.270175833, 116.272956188, 98.1970370842, 98.8462423504, 110.187252257, 115.725447022, 113.331251859, 111.026596015, 114.621882169, 194.653978518, 125.885533746, 97.4798191413, 84.2705389959, 79.458525918, 77.0131713421, 72.3255781773, 79.4788327196, 106.842977836, 2.39322450746e-14, 26.0598279979, -2.09193773415e-13, 50.7305135026, -5.66768854071e-14, 73.3835489894, 1.96093141724e-14, 29.8202555325, 1.33587585438e-13, 56.9798133791, -2.62914690019e-14, 81.6078101458, 3.91003418879e-14, 43.4159769713, -6.37640439581e-14, 84.9353443923, -1.92583687712e-13, 123.299641945, 1.76109127281e-14, 29.6312604503, -2.83523204914e-14, 56.632242529, -1.34371680449e-13, 81.1133912579, 3
134.030605564, 102.751698121, 113.177750577, 102.763767237, 84.1983802939, 64.4862426453, 46.4366447536, 48.850473806, 59.0898592414, 111.573020336, 126.004312587, 148.217518196, 155.966907555, 141.056134194, 119.13799423, 104.542257543, 104.247440326, 101.780189614, 147.282497141, 77.1354535005, 71.4403542452, 70.9188220548, 75.3446090804, 75.9694744332, 84.858612758, 101.853528235, 107.164424971, 162.955312595, 101.885874525, 84.972612819, 77.6686840811, 74.2973961031, 66.8057833033, 55.7586048666, 72.9525905681, 101.901592177, 124.341470047, 114.813061467, 122.439988747, 131.361669177, 135.189863253, 126.211587005, 101.471417275, 107.196463119, 112.852884749, 170.758364054, 109.330466929, 82.6955357937, 73.4024401433, 73.3729999174, 71.960733034, 65.7221550504, 80.5590799769, 106.812441534, 186.239954223, 95.7967927473, 56.969652493, 42.912779821, 44.9022984385, 52.2244973595, 59.1963766993, 86.8139536631, 130.248972905, 147.470299447, 116.24586336, 99.6750966834, 98.7577929009, 108.040154345, 111.985299014, 99.6848846861, 109.500754669, 129.989527478, 191.484043166, 130.514271485, 98.2086106507, 79.758840104, 73.5871701122, 68.0375183995, 55.764794796, 68.6949182324, 98.8762163545, 4.722611191e-14, 32.1214369506, -2.96512814302e-13, 61.9238029833, -9.20513665292e-14, 89.0922984997, 1.97359489862e-14, 56.6107221276, 1.80640225e-13, 106.468796381, 8.79157857625e-15, 150.333144434, 5.29658782111e-14, 97.0299572627, -8.77249661801e-14, 190.713122769, -2.48406330228e-13, 277.620787722, 1.35308431126e-14, 55.1051749984, -4.96686025642e-14, 103.288815971, -1.6114193313e-13, 145.522541626, 3
139.177663671, 108.711826459, 139.77753577, 119.227561995, 95.1033013225, 69.7884443002, 47.2602201735, 46.5367769823, 49.3951818437, 86.4366167642, 94.7506967906, 133.002905042, 146.262456761, 145.527632802, 139.802481576, 126.147105013, 111.71827475, 88.4484686115, 137.914668962, 48.9833359914, 54.7304872141, 60.2065683384, 81.5171465748, 102.290048227, 109.845720339, 130.160705761, 106.116890546, 189.119278615, 117.760564369, 103.175945128, 84.9410203546, 78.9782183033, 76.6259893219, 69.3921972079, 77.9662221495, 97.4817675025, 113.748504763, 109.723642773, 121.633558138, 131.249754801, 137.296957816, 135.81076229, 120.501008655, 109.329638627, 104.523694272, 178.118835632, 95.2264003995, 79.7035928952, 78.0821789262, 84.7817133437, 86.0309167944, 83.0289865443, 95.4073697328, 113.093929542, 196.456717514, 102.663021217, 87.1199794921, 79.2145633152, 75.3749990898, 81.6799551283, 87.5818792716, 102.460182104, 115.296883937, 118.953933731, 109.069212883, 115.83466103, 123.87571027, 128.528590245, 129.368519571, 119.077736127, 110.521057881, 103.291446051, 173.940490716, 105.539447478, 95.0896824743, 85.9057332744, 86.3916522928, 84.2894850719, 77.656924767, 78.8513758207, 93.1811699109, 3.93851617986e-14, 28.0604823549, -2.63955524105e-13, 53.7999137204, -7.22755189031e-14, 77.1404275431, 1.85476634051e-14, 42.089500014, 1.56985535682e-13, 80.4292506578, -1.71529457305e-14, 115.222982071, 4.44981508238e-14, 64.6181314826, -7.51388968406e-14, 126.420454586, -2.13020139722e-13, 183.539939553, 1.64278313175e-14, 41.172470181, -3.54508089551e-14, 78.5199260542, -1.42399980696e-13, 112.373711546, 2
147.969366006, 111.285777055, 113.541084534, 96.8406081792, 79.4963128088, 69.5517997596, 56.702967301, 52.610602498, 60.8384027935, 105.212289162, 105.745476412, 127.906881986, 140.376929884, 134.908860704, 137.896427958, 137.616139325, 123.74854782, 104.002520223, 153.029109968, 66.1433024268, 54.4710456361, 59.757774868, 67.4028754507, 85.0574301714, 108.871918669, 121.306994645, 119.938131446, 171.078242008, 107.951608253, 84.5357764228, 77.5005909715, 77.2807298126, 74.5429242221, 69.9977060219, 79.0763547497, 103.074957076, 107.183421432, 101.754997236, 121.464452279, 139.671928745, 145.85196185, 140.034048818, 120.10330451, 109.956433974, 101.59845051, 181.922686571, 106.377599934, 88.498344654, 83.1881682807, 85.7259102303, 84.6323320002, 77.2849354739, 80.8699314513, 100.722946739, 196.610134471, 115.157469974, 79.7898749692, 66.1246538192, 63.2627555187, 68.8152107002, 75.5669074153, 101.698188634, 137.855516919, 131.642544841, 116.114266207, 112.676092638, 120.744427274, 116.275129272, 113.012611348, 107.450698903, 112.880337465, 120.538551394, 184.288742711, 124.436647777, 102.669669131, 90.6449501704, 83.612529124, 74.6491856955, 64.8252899151, 72.4896306932, 95.8437629162, 3.86895376847e-14, 21.5705812271, -2.50910403565e-13, 41.380136062, -6.83203493779e-14, 59.4011628961, 1.75033598726e-14, 41.7798282025, 1.48084669527e-13, 78.4993760706, -1.3430229151e-14, 110.848672713, 4.37342219731e-14, 72.9572873002, -7.35273387314e-14, 143.198844694, -2.09727634565e-13, 208.285227494, 1.63957389332e-14, 42.1241425737, -3.38444550163e-14, 79.2197857316, -1.42687944793e-13, 111.924677328, 3
139.812654109, 96.7636402019, 104.100643388, 92.1399818083, 75.6133805781, 64.4382635989, 58.1389354547, 58.9810270909, 59.8017542731, 101.124726732, 88.3268212407, 103.337796476, 112.776737267, 118.444222861, 134.453552659, 159.950076168, 155.09096149, 124.5062082, 122.690453076, 46.6804906154, 39.5700110819, 41.1113586299, 59.0428247975, 84.5714663135, 119.008830138, 128.854923702, 111.000862898, 166.168397865, 92.2672539519, 79.128147868, 69.6133406863, 66.3609398554, 71.2971799137, 73.6227450563, 84.2640552687, 96.6571926414, 114.294529591, 99.3509519586, 104.626179347, 107.485882006, 119.131153387, 136.221863345, 145.109301924, 139.260426987, 117.866566994, 150.826086655, 84.9268608591, 65.9406611985, 57.4940928135, 66.0563505832, 77.5296902232, 92.1301283329, 104.870727771, 110.086459377, 156.612194902, 61.1564808549, 55.7154991859, 54.1524588777, 67.8824527351, 74.5336512378, 74.0034941733, 98.4832753376, 103.59436201, 128.36920174, 113.753162626, 111.086980241, 112.88134781, 120.109788643, 123.747975221, 107.842170238, 108.983885961, 110.501364687, 182.301507995, 125.9095111, 100.255256937, 81.709949235, 73.1258760431, 66.62524118, 58.1527504318, 73.5020581151, 102.832786731, 5.52023704525e-14, 26.262696954, -3.11063674818e-13, 50.2838621082, -9.41816069577e-14, 72.0961335761, 1.81053089188e-14, 51.2267293702, 1.80777268155e-13, 95.6002498025, 1.26565424807e-14, 134.355887268, 5.48562931191e-14, 92.7128974253, -9.04607877321e-14, 181.903221235, -2.54354154926e-13, 264.540371667, 1.30503247098e-14, 54.6079592317, -5.01439167966e-14, 102.854275274, -1.64229740918e-13, 145.437736, 2
140.473699013, 90.6858928553, 95.1050661876, 78.6421382261, 70.8278685718, 65.4262999643, 62.1231745597, 60.9276089213, 65.2505964027, 103.579129839, 94.2375068601, 103.306297991, 103.651723155, 115.24312817, 137.782596199, 164.317117679, 156.381029163, 125.236459092, 127.429483033, 45.355326941, 39.3992492101, 41.79074996, 64.4210997452, 91.8010255633, 120.08614269, 130.552073962, 106.006412812, 172.773192825, 88.0161956474, 72.1466490066, 64.2567259602, 67.2913760474, 65.5975089724, 65.3603809621, 69.3672975698, 90.8696494654, 120.029214103, 102.350301928, 107.883040501, 110.337561766, 130.47465348, 144.160306826, 145.091383293, 136.767765074, 117.787758157, 160.053530304, 79.6942504351, 61.0635939375, 57.3390532317, 71.4337431975, 88.1753497225, 95.9771057268, 101.12141326, 107.33770562, 177.911957838, 78.9076797628, 52.8690979352, 48.3620818241, 56.6168544793, 60.2289732114, 67.765596882, 77.066511605, 100.048781057, 131.253119628, 108.361089386, 106.846864921, 111.360381584, 124.840999062, 127.900280603, 121.414767169, 116.681464408, 117.873926988, 173.391141032, 110.061886809, 90.130938756, 79.0399904814, 76.575676652, 72.8841568977, 61.4479982161, 68.256581538, 102.321286949, 5.64132074388e-14, 31.293400755, -3.06685232765e-13, 60.1567901201, -1.08787978625e-13, 86.427179681, 1.79960213398e-14, 56.4798530334, 1.81195336513e-13, 105.714120891, 2.29954943975e-14, 148.732494413, 5.55410752112e-14, 101.372312812, -9.15287810821e-14, 199.249126899, -2.57144566057e-13, 290.045490283, 1.18273446592e-14, 58.9599678641, -5.5747073624e-14, 110.78717002, -1.64472602204e-13, 156.297967109, 3
166.932547757, 137.225158964, 143.793209509, 128.428842156, 93.2268781481, 66.4939691024, 58.3478800471, 61.1396968255, 81.345510621, 121.776492763, 146.295134706, 162.868863482, 160.578779523, 130.752176926, 113.520314184, 105.206934429, 99.0783963758, 104.05433551, 150.819427373, 83.4533872867, 71.76490801, 69.2381549472, 67.6501645971, 79.5121703419, 93.1644511386, 107.56347022, 117.595574063, 192.628033822, 112.321898672, 103.360871478, 94.8231981369, 85.0828669186, 73.911688077, 69.898943381, 84.7932226875, 111.634029301, 117.753204587, 115.244727442, 131.401356087, 138.511147342, 139.102577231, 132.495965295, 113.812248876, 105.850499652, 105.021471678, 170.036629777, 98.8929814643, 79.2123089241, 70.2570342973, 76.5948570289, 83.1836714866, 76.6880490476, 85.9738414019, 115.225474435, 196.197994669, 96.6950320685, 72.855406244, 60.0730412059, 63.4953936341, 72.0272672682, 91.3822388383, 114.945396254, 135.336372557, 126.292443544, 104.856119385, 110.876651549, 111.126185752, 120.062105182, 122.076350621, 121.281368819, 124.771592107, 114.888418511, 178.771191675, 125.313496788, 106.204733308, 86.9326627695, 82.0078201884, 77.3480129723, 64.487163519, 78.2734896223, 104.581762573, 2.63955524105e-14, 25.1086406007, -2.29399832463e-13, 48.1536259409, -6.17284001692e-14, 69.1632097201, 1.72917236085e-14, 44.7360671701, 1.42011402637e-13, 83.9528762532, -1.68476343987e-14, 118.581241439, 4.1135064105e-14, 76.4792061407, -6.74835621411e-14, 149.678130657, -1.98213407493e-13, 217.37132897, 1.65423230669e-14, 45.4791783294, -3.10723669017e-14, 85.6354981731, -1.32296951172e-13, 121.209074668, 3
141.103489328, 101.121979415, 129.972495087, 115.868203251, 87.5667516301, 59.2074841438, 43.4301990617, 44.1686965403, 47.8482187641, 105.254515558, 125.40984877, 166.795270141, 178.48000155, 150.713433248, 113.955373178, 98.1626085828, 89.8787245149, 84.8047106065, 144.69745646, 72.8321079247, 76.6163493073, 79.4906499038, 81.543343172, 78.1627483082, 83.3088304347, 95.3304190355, 97.5994258484, 158.192154918, 107.829934071, 98.3765121015, 88.5488375204, 79.422685461, 62.3433940178, 55.8462833121, 65.9547729511, 86.1538708992, 123.704538835, 116.821976361, 136.192989313, 143.391291475, 139.262002472, 120.276291016, 109.723584612, 109.668048329, 105.592771869, 169.10164795, 92.1042717969, 78.4311216991, 73.8262159081, 73.0849570769, 71.4869489929, 72.7158626247, 82.0079864162, 109.81693792, 170.353195305, 105.984316799, 77.4476650167, 63.8196115411, 67.6088936517, 66.4314265049, 75.4385256569, 87.2107412974, 107.496103377, 130.682340317, 116.065012509, 117.345879491, 121.610740246, 124.185998884, 114.695112799, 112.008313185, 112.224538673, 111.878323161, 171.819626083, 113.46136852, 96.3475613638, 86.4586105343, 74.0852213347, 64.8141812623, 63.4965267639, 72.8280442978, 99.3588757144, 3.9357406223e-14, 28.7978056335, -2.92904589472e-13, 55.2084815941, -8.47377723545e-14, 79.1645556117, 1.7402745911e-14, 59.793048174, 1.79564696445e-13, 112.33578267, -3.05311331772e-15, 158.364458736, 5.11540679607e-14, 103.85043592, -8.30704862537e-14, 204.379579367, -2.34612242828e-13, 297.714664525, 1.51337276044e-14, 56.1852814301, -4.22370471931e-14, 104.90104539, -1.493388746e-13, 147.246765935, 2
136.695260853, 118.87115379, 124.109585859, 105.102626283, 77.941146908, 61.6740085485, 49.3640327026, 45.9470536862, 53.3993838689, 110.088707084, 120.278698422, 133.102991367, 135.097309687, 134.750801794, 133.871391811, 132.324664985, 127.843232597, 112.874396908, 142.465726282, 62.2554094418, 55.4728073507, 54.4947097745, 70.8383192452, 87.8219797199, 108.34889203, 128.961336798, 120.522573455, 175.719201154, 113.589947785, 86.8749797227, 77.844852212, 80.9928652578, 76.7523164597, 68.7882552836, 75.036118847, 95.7199481343, 122.683323588, 110.513739109, 124.772474516, 129.697238804, 147.513950507, 146.046616079, 125.578496931, 115.648405142, 106.617050308, 171.853133808, 100.110715809, 92.5392976149, 77.6176582631, 83.8530225836, 86.6453732834, 80.6114835327, 93.4198142057, 109.728448213, 202.34762905, 106.49152827, 68.7929441188, 59.3129512865, 67.2395090985, 71.2623213419, 79.452368002, 97.4892763868, 127.747318164, 127.641663918, 106.515966775, 111.14015514, 118.655168308, 129.944358902, 127.680524794, 116.569894153, 107.29821562, 109.389730845, 188.134792768, 123.584798075, 105.691973465, 89.9320684827, 82.0720621131, 78.4371350802, 68.4084154637, 75.9177625641, 101.85316711, 3.37369021608e-14, 26.6371549637, -2.83301160309e-13, 51.1180706103, -7.98527910462e-14, 73.3915011843, 2.03864702897e-14, 47.5715776257, 1.73985825747e-13, 89.6274448685, -6.55031584529e-15, 126.833710389, 5.04128531455e-14, 80.7834765547, -8.41420032607e-14, 158.425075249, -2.4340685717e-13, 230.324097852, 1.74860126378e-14, 46.9777510709, -4.34860480958e-14, 88.2937847418, -1.5984435997e-13, 124.734433508, 3
131.37933537, 114.817437071, 132.237528354, 118.755621666, 84.0965195074, 59.9284870778, 43.1909891358, 43.3115545877, 54.6160686909, 119.535073846, 137.769292786, 161.056902114, 160.472969612, 135.453828064, 113.296224124, 104.484071129, 104.297733004, 104.694694093, 152.116908005, 74.4502293169, 68.9673797822, 60.0859041364, 67.203685453, 70.0326336009, 77.5945673907, 96.2562701784, 94.6313407616, 160.70875627, 101.370339194, 93.8822834566, 89.866267969, 81.3460437779, 69.6863569459, 63.2678530186, 69.1998398958, 91.7381646987, 126.133731796, 125.085401512, 136.847680949, 140.068245084, 139.58596872, 124.404011909, 114.649344635, 109.649086443, 109.881423443, 171.353745812, 93.9985915902, 78.6348553232, 66.6758290926, 68.2868028513, 67.1118815694, 67.8532847296, 76.5731398639, 93.5023575989, 174.439156386, 88.9554212646, 66.4745365577, 58.8534820402, 62.8880865255, 63.6667362982, 70.2455495128, 87.0354072896, 120.720127743, 142.874560197, 118.460858229, 113.068942679, 109.184102893, 113.634036607, 115.153028118, 112.215211062, 116.409227177, 125.217064341, 174.629455307, 105.640360658, 82.4985814775, 66.3864479762, 62.5020513475, 64.5074451495, 59.3550610106, 66.3820531955, 97.809028025, 5.3221316243e-14, 30.1735931041, -2.95902191638e-13, 58.0096498736, -9.73110481084e-14, 83.3842836856, 1.55292445569e-14, 55.2735433417, 1.75970349403e-13, 103.041786226, 2.06223926824e-14, 144.56091155, 5.30004642604e-14, 97.8046531111, -8.6709285585e-14, 191.989529367, -2.43216037588e-13, 279.316589036, 1.01585406753e-14, 55.2473551198, -5.27078380941e-14, 103.153526345, -1.51267887105e-13, 144.845919022, 3
